4.65456406,0
6.31804271,0.000889233
6.74,0.000889233
7.395,0.00161981
8.12,0.00161981
8.915,0.00161981
9.785,0.002284823
10.735,0.002952497
11.78,0.003634963
12.93,0.00434366
14.19,0.00508211
15.575,0.006618613
17.095,0.00741882
18.76,0.010058893
20.585,0.011943597
22.59,0.01597717
24.795,0.02042504
27.215,0.02527782
29.87,0.033635923
32.78,0.044707397
35.975,0.059889483
39.485,0.083903723
43.335,0.120371087
47.56,0.176346583
52.195,0.27361986
57.285,0.41848346
62.87,0.66879211
69,1.055437337
75.73,1.665130493
83.11,2.59816525
91.21,3.91577916
100.105,5.65718416
109.87,7.78444032
120.585,10.21773876
132.34,12.83049892
145.24,15.51665455
159.4,18.15945954
174.94,20.68903333
191.995,23.0557713
210.715,25.31723734
231.26,27.44404347
253.81,29.50818575
278.56,31.5647699
305.72,33.61724085
335.525,35.70152191
368.235,37.81807362
404.135,40.05654736
443.54,42.4340627
486.785,45.03251185
534.245,47.81326753
586.335,50.82488147
643.505,53.71360743
706.245,57.08765564
775.1,60.37762876
850.675,64.19819014
933.615,68.32617876
1024.64,72.06694609
1124.54,76.21393986
1234.18,80.1673215
1354.51,84.043009
1486.575,87.50988019
1631.515,89.8983826
1790.585,92.88990018
1965.165,95.0961393
2156.765,98.09762928
2367.05,100
2597.835,100
