4.65456406,0
6.31804271,0.000017535
6.74,0.000017535
7.395,0.00003649
8.12,0.00003649
8.915,0.00003649
9.785,0.00005711
10.735,0.00008211
11.78,0.00010955
12.93,0.000143235
14.19,0.000179345
15.575,0.00026085
17.095,0.000306515
18.76,0.000451595
20.585,0.00055505
22.59,0.00076434
24.795,0.000984755
27.215,0.001228465
29.87,0.00159292
32.78,0.002028885
35.975,0.00256496
39.485,0.003236345
43.335,0.004016085
47.56,0.00491632
52.195,0.005979405
57.285,0.007022935
62.87,0.008107435
69,0.009253355
75.73,0.010358745
83.11,0.011718285
91.21,0.01318597
100.105,0.014643385
109.87,0.01624694
120.585,0.01771698
132.34,0.01935917
145.24,0.020942525
159.4,0.02302371
174.94,0.025330045
191.995,0.028738225
210.715,0.033676545
231.26,0.03840966
253.81,0.043522285
278.56,0.048890165
305.72,0.05758018
335.525,0.069632905
368.235,0.079159905
404.135,0.091522115
443.54,0.10631285
486.785,0.13015596
534.245,0.145961695
586.335,0.17030463
643.505,0.207567615
706.245,0.23171454
775.1,0.298904445
850.675,0.382087585
933.615,0.50990636
1024.64,0.602385475
1124.54,0.749330475
1234.18,0.98395565
1354.51,1.35756798
1486.575,1.86652054
1631.515,2.07574104
1790.585,2.599459625
1965.165,2.824749525
2156.765,3.568486055
2367.05,5.09553899
2597.835,7.41776157
2851.12,12.43159962
3129.1,20.81445177
3434.18,32.26187871
3769.01,49.37903605
4136.485,66.39872749
4539.785,79.97726727
4982.41,100
5468.19,100
